T,TM,tm,H,P,VV,V,VM
26.4,32.2,18.2,54,0,2.6,7,20.6
26.4,32,19,51,0,2.7,6.7,16.5
26.1,31,18.3,59,0,3.2,9.6,20.6
,,,,,,,
,,,,,,,
,,,,,,,
26,31,19.7,65,0,3.4,7.8,22.2
26.6,32,16,62,0,3.5,6.9,22.2
30.5,39,20.2,34,0,3.1,6.9,20.6
,,,,,,,
,,,,,,,
,,,,,,,
26.5,31.8,22.9,64,0,3.1,10.9,22.2
25.1,29,19.9,57,0,3.9,11.1,22.2
24.4,28.7,17.2,64,0,4,8.9,22.2
,,,,,,,
24.1,28.3,20,72,-,4.3,15,24.1
